basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
tv-C+_-20220709T112835-60,0.602192121577239,0.909124365975474,0.66865534361423,0.8950968770041,0.817983947762209,0.909124365975474,0.817983947762209,HARD,MEDIUM
tv-C+_-20220716T083705-60,0.802519210374532,0.940819952741548,0.872346381173013,0.932442740990195,0.670251362866765,0.940819952741548,0.872346381173013,MEDIUM,MEDIUM
tv-C+_-20221206T181000-60,0.816745970003437,0.926943308667884,0.911891869517083,0.958207443055379,0.857742478244351,0.958207443055379,0.911891869517083,MEDIUM,EASY
tv-C+N-20210201T035413-60,0.957335385539454,0.957335385539454,0.957335385539454,0.957335385539454,0.965913356858623,0.965913356858623,0.957335385539454,EASY,EASY
tv-C+N-20210214T060402-60,0.964673706601838,0.961960134467826,0.937248315762614,0.973999088353719,0.98795867203525,0.98795867203525,0.964673706601838,EASY,EASY
tv-C+N-20210324T065324-60,0.996081771720613,0.996081771720613,0.996081771720613,0.996081771720613,0.978313458262351,0.996081771720613,0.996081771720613,EASY,EASY
tv-C+N-20210916T071121-60,0.988768787506194,0.986753546457213,0.98627296250757,0.97019691325173,0.917931401515847,0.988768787506194,0.98627296250757,EASY,EASY
tv-C+N-20210925T184644-60,0.933389054437095,0.921748946144341,0.911930372846864,0.906370375754051,0.930045788211353,0.933389054437095,0.921748946144341,MEDIUM,EASY
tv-C+N-20211030T121520-60,0.957740748275415,0.92184812561262,0.917663812394814,0.917663812394814,0.930572765438035,0.957740748275415,0.92184812561262,MEDIUM,EASY
tv-C+N-20211112T070441-60,0.974903511972196,0.974903511972196,0.974903511972196,0.98243053822078,0.979607903377561,0.98243053822078,0.974903511972196,EASY,EASY
tv-C+N-20220127T191413-60,0.981872463315641,0.978411352638151,0.97108179831408,0.970691539182017,0.992370433968155,0.992370433968155,0.978411352638151,EASY,EASY
tv-C+N-20220131T131454-60,0.963688988291014,0.984438137839006,0.963688988291014,0.963688988291014,0.997744657657827,0.997744657657827,0.963688988291014,EASY,EASY
tv-C+N-20220221T104137-60,0.90746338060916,0.955052846237309,0.921394296702438,0.892893125629698,0.923486786018755,0.955052846237309,0.921394296702438,MEDIUM,EASY
tv-C+N-20220225T081613-60,0.882490871339586,0.930377183718765,0.934524231260196,0.949434381041025,0.851220734588673,0.949434381041025,0.930377183718765,MEDIUM,EASY
tv-C+N-20220310T231002-60,0.960598015928461,0.955916036248228,0.920058223681953,0.967404539012755,0.966745843230404,0.967404539012755,0.960598015928461,EASY,EASY
tv-C+N-20220401T234951-60,0.968009478672985,0.973429389528322,0.954882326257387,0.968818174979312,0.938144136011435,0.973429389528322,0.968009478672985,EASY,EASY
tv-C+N-20220416T072654-60,0.749214071856287,0.89381900261976,0.847436388666758,0.841167664670658,0.60250748502994,0.89381900261976,0.841167664670658,HARD,MEDIUM
tv-C+N-20220524T224733-60,0.962467803262602,0.981146291461513,0.962467803262602,0.96767184734804,0.983897250792872,0.983897250792872,0.96767184734804,EASY,EASY
tv-C+N-20220629T213735-60,0.98842121733688,0.98842121733688,0.98842121733688,0.987551939359168,0.953771797145291,0.98842121733688,0.98842121733688,EASY,EASY
tv-C+N-20220702T005054-60,0.960651313750159,0.987692139379683,0.967853717878032,0.98564994621009,0.853016793392046,0.987692139379683,0.967853717878032,EASY,EASY
tv-C+N-20220706T023637-60,0.973087895913212,0.953902118805764,0.950536970071414,0.976413294325017,0.9612763714997,0.976413294325017,0.9612763714997,EASY,EASY
tv-C+N-20220817T091809-60,0.973052159444404,0.969891666063806,0.929881351639011,0.979617304492513,0.927132315705708,0.979617304492513,0.969891666063806,EASY,EASY
tv-C+N-20221031T100141-60,0.962657966628014,0.96877763801812,0.951357088107545,0.962559698119141,0.988207778935162,0.988207778935162,0.962657966628014,EASY,EASY
tv-C25-20221126T032841-60,0.971692599897728,0.972055573818394,0.937705456936226,0.963163854189495,0.876251004456133,0.972055573818394,0.963163854189495,EASY,EASY
tv-F24-20210118T234914-60,0.913541391703384,0.935525340616053,0.905500625498502,0.954090438384535,0.995289244451664,0.995289244451664,0.935525340616053,EASY,EASY
tv-F24-20210627T183254-60,0.870948804631672,0.918224559201603,0.843296379760107,0.879714164254337,0.923358772444786,0.923358772444786,0.879714164254337,HARD,MEDIUM
tv-F24-20210723T115128-60,0.978517802720583,0.964715119304244,0.949193488441239,0.974986991749052,0.943953021630863,0.978517802720583,0.964715119304244,EASY,EASY
tv-F24-20210803T045809-60,0.952871082252626,0.972746347598066,0.949071505774921,0.919941490215665,0.889687650511068,0.972746347598066,0.949071505774921,EASY,EASY
tv-F24-20210828T075121-60,0.878312550546371,0.967176597265324,0.849085004255827,0.976772179277399,0.988997348078768,0.988997348078768,0.967176597265324,EASY,EASY
tv-F24-20210902T235242-60,0.967444817876283,0.97082046507403,0.967935325642656,0.987337632845853,0.963520755745299,0.987337632845853,0.967935325642656,EASY,EASY
tv-F24-20211107T145503-60,0.991771132432243,0.981790347713425,0.978062189228937,0.973842706071854,0.952797814973037,0.991771132432243,0.978062189228937,EASY,EASY
tv-F24-20220108T080416-60,0.850822216546494,0.908463329338494,0.849643415865016,0.991866244916403,0.986581268787206,0.991866244916403,0.908463329338494,EASY,EASY
tv-F24-20220123T055841-60,0.869496914865427,0.943801576636257,0.906613133995783,0.904209410606806,0.793106711587235,0.943801576636257,0.904209410606806,MEDIUM,EASY
tv-F24-20220218T101322-60,0.913124300536808,0.963292408808968,0.890096538415408,0.945351770708853,0.957852007815019,0.963292408808968,0.945351770708853,EASY,EASY
tv-F24-20220313T182237-60,0.93926822136121,0.967953843482711,0.935941978525423,0.945829373492214,0.965713867972805,0.967953843482711,0.945829373492214,EASY,EASY
tv-F24-20220529T081209-60,0.866716882396082,0.904119754603658,0.849650144751885,0.971079704255783,0.97300243810581,0.97300243810581,0.904119754603658,EASY,EASY
tv-F24-20220925T212253-60,0.988304809188329,0.973279373459434,0.976382376241023,0.95015995664563,0.394227575476811,0.988304809188329,0.973279373459434,EASY,EASY
tv-F24-20221012T125747-60,0.977517432771854,0.975633639541215,0.957634412379463,0.955561800713119,0.893014596104192,0.977517432771854,0.957634412379463,EASY,EASY
tv-F24-20221128T072937-60,0.936171731410931,0.970819355471886,0.948038047659425,0.931960528898485,0.90740707696151,0.970819355471886,0.936171731410931,EASY,EASY
tv-F24-20221202T042912-60,0.89390389921391,0.963008876047686,0.973432569854459,0.949294601488885,0.382112551408194,0.973432569854459,0.949294601488885,EASY,EASY
tv-FR2-20210413T161917-60,0.961979641446368,0.944990836751747,0.961979641446368,0.96315709510787,0.990067608629596,0.990067608629596,0.961979641446368,EASY,EASY
tv-FR2-20210625T081050-60,0.910471527238709,0.924581019486077,0.904719253199578,0.915109173782369,0.984514639437909,0.984514639437909,0.915109173782369,EASY,EASY
tv-FR2-20210722T190223-60,0.991655455458865,0.903431055329439,0.991655455458865,0.736806253299501,0.337800786771342,0.991655455458865,0.903431055329439,EASY,EASY
